CHEBI:65909	MESH:C525683
CHEBI:22151	MESH:C488692
CHEBI:29385	MESH:C056471
CHEBI:68888	MESH:C076470
CHEBI:33252	MESH:D002467
CHEBI:95033	MESH:C121825
CHEBI:69580	MESH:C468651
CHEBI:135728	MESH:C011824
CHEBI:91610	MESH:C093124
CHEBI:124922	MESH:C578195
CHEBI:92399	MESH:C093555
CHEBI:27841	MESH:D003632
CHEBI:95050	MESH:C527965
CHEBI:93086	MESH:C000600819
CHEBI:9334	MESH:D012460
CHEBI:78759	MESH:C063514
CHEBI:72291	MESH:D000069547
CHEBI:34444	MESH:C006862
CHEBI:31919	MESH:C548174
CHEBI:141953	MESH:C471685
CHEBI:73261	MESH:C008667
CHEBI:133634	MESH:C047376
CHEBI:59606	MESH:C038762
CHEBI:33567	MESH:D002395
CHEBI:80418	MESH:C015539
CHEBI:3495	MESH:C012653
CHEBI:46202	MESH:C479548
CHEBI:39280	MESH:C002842
CHEBI:66169	MESH:C523662
CHEBI:65832	MESH:C527318
CHEBI:37806	MESH:D010397
CHEBI:31652	MESH:C104201
CHEBI:63961	MESH:C035647
CHEBI:135635	MESH:C016064
CHEBI:24897	MESH:D054833
CHEBI:2422	MESH:C014949
CHEBI:94738	MESH:C005783
CHEBI:141472	MESH:C017514
CHEBI:78250	MESH:C117223
CHEBI:66675	MESH:C508595
CHEBI:46324	MESH:C003715
CHEBI:70981	MESH:C005926
CHEBI:79059	MESH:C459464
CHEBI:2921	MESH:C052097
CHEBI:478164	MESH:C043266
CHEBI:34831	MESH:D008552
CHEBI:81829	MESH:C403945
CHEBI:66728	MESH:C104961
CHEBI:37199	MESH:C570676
CHEBI:38057	MESH:C093444
CHEBI:82215	MESH:C070144
CHEBI:75466	MESH:C083975
CHEBI:48883	MESH:C026718
CHEBI:80589	MESH:C083197
CHEBI:454991	MESH:C005854
CHEBI:17351	MESH:D019787
CHEBI:20601	MESH:C016562
CHEBI:75125	MESH:C095823
CHEBI:94128	MESH:C528561
CHEBI:29703	MESH:C030790
